PHE_Centre,Local_Authority,Area_Code_GSS,Alcohol_dependent,Alcohol_lower_CI,Alcohol_upper_CI,Year
East Midlands,Derby,E06000015,3378,2538,4779,2017/18
East Midlands,Derbyshire,E10000007,8688,7156,10879,2017/18
East Midlands,Leicester,E06000016,4210,3309,5754,2017/18
East Midlands,Leicestershire,E10000018,5457,4134,7437,2017/18
East Midlands,Lincolnshire,E10000019,6916,5290,9448,2017/18
East Midlands,Northamptonshire,E10000021,6603,5195,8786,2017/18
East Midlands,Nottingham,E06000018,5014,3845,6937,2017/18
East Midlands,Nottinghamshire,E10000024,8349,6808,10762,2017/18
East Midlands,Rutland,E06000017,271,199,382,2017/18
East of England,Bedford,E06000055,1474,1175,1918,2017/18
East of England,Cambridgeshire,E10000003,5674,4437,7560,2017/18
East of England,Central Bedfordshire,E06000056,1942,1400,2778,2017/18
East of England,Essex,E10000012,12505,9586,16998,2017/18
East of England,Hertfordshire,E10000015,8637,6395,12054,2017/18
East of England,Luton,E06000032,2181,1745,2855,2017/18
East of England,Milton Keynes,E06000042,2200,1731,2895,2017/18
East of England,Norfolk,E10000020,8840,7069,11582,2017/18
East of England,Peterborough,E06000031,2405,1976,3047,2017/18
East of England,Southend-on-Sea,E06000033,2026,1672,2588,2017/18
East of England,Suffolk,E10000029,6609,5070,8941,2017/18
East of England,Thurrock,E06000034,1574,1187,2186,2017/18
London,Barking and Dagenham,E09000002,2202,1682,2984,2017/18
London,Barnet,E09000003,3046,2237,4284,2017/18
London,Bexley,E09000004,2096,1612,2822,2017/18
London,Brent,E09000005,3294,2456,4646,2017/18
London,Bromley,E09000006,2537,1890,3510,2017/18
London,Camden,E09000007,3261,2669,4360,2017/18
London,City of London,E09000001,74,57,100,2017/18
London,Croydon,E09000008,3351,2682,4470,2017/18
London,Ealing,E09000009,3409,2647,4578,2017/18
London,Enfield,E09000010,2826,2111,4002,2017/18
London,Greenwich,E09000011,2981,2230,4165,2017/18
London,Hackney,E09000012,3654,2777,5097,2017/18
London,Hammersmith and Fulham,E09000013,2524,2052,3354,2017/18
London,Haringey,E09000014,3055,2291,4266,2017/18
London,Harrow,E09000015,1674,1238,2387,2017/18
London,Havering,E09000016,2231,1676,3079,2017/18
London,Hillingdon,E09000017,2870,2283,3819,2017/18
London,Hounslow,E09000018,2605,2028,3509,2017/18
London,Islington,E09000019,3601,2904,4852,2017/18
London,Kensington and Chelsea,E09000020,1590,1215,2209,2017/18
London,Kingston upon Thames,E09000021,1435,1103,1964,2017/18
London,Lambeth,E09000022,4221,3310,5769,2017/18
London,Lewisham,E09000023,3314,2520,4537,2017/18
London,Merton,E09000024,1695,1340,2261,2017/18
London,Newham,E09000025,3687,2499,5580,2017/18
London,Redbridge,E09000026,2266,1648,3242,2017/18
London,Richmond upon Thames,E09000027,1327,952,1915,2017/18
London,Southwark,E09000028,3780,3027,5081,2017/18
London,Sutton,E09000029,1831,1465,2401,2017/18
London,Tower Hamlets,E09000030,3350,2405,4901,2017/18
London,Waltham Forest,E09000031,2935,2180,4089,2017/18
London,Wandsworth,E09000032,3662,2872,4906,2017/18
London,Westminster,E09000033,2689,2124,3609,2017/18
North East,County Durham,E06000047,6885,5607,8720,2017/18
North East,Darlington,E06000005,1344,1072,1718,2017/18
North East,Gateshead,E08000037,3227,2444,4403,2017/18
North East,Hartlepool,E06000001,1372,1025,1921,2017/18
North East,Middlesbrough,E06000002,2446,1567,3975,2017/18
North East,Newcastle upon Tyne,E08000021,4146,3311,5456,2017/18
North East,North Tyneside,E08000022,2551,2075,3238,2017/18
North East,Northumberland,E06000057,3224,2651,4095,2017/18
North East,Redcar and Cleveland,E06000003,1815,1434,2355,2017/18
North East,South Tyneside,E08000023,2399,1692,3533,2017/18
North East,Stockton-on-Tees,E06000004,2316,1875,2959,2017/18
North East,Sunderland,E08000024,4986,3334,7750,2017/18
North West,Blackburn with Darwen,E06000008,2357,1447,4112,2017/18
North West,Blackpool,E06000009,4188,1733,10195,2017/18
North West,Bolton,E08000001,3486,2797,4474,2017/18
North West,Bury,E08000002,2152,1775,2699,2017/18
North West,Cheshire East,E06000049,3412,2754,4355,2017/18
North West,Cheshire West and Chester,E06000050,3568,2883,4522,2017/18
North West,Cumbria,E10000006,5373,4382,6804,2017/18
North West,Halton,E06000006,2001,1444,2902,2017/18
North West,Knowsley,E08000011,2315,1688,3287,2017/18
North West,Lancashire,E10000017,14048,11502,17688,2017/18
North West,Liverpool,E08000012,9555,6534,14840,2017/18
North West,Manchester,E08000003,8321,6394,11682,2017/18
North West,Oldham,E08000004,2865,2273,3805,2017/18
North West,Rochdale,E08000005,2994,2308,4033,2017/18
North West,Salford,E08000006,4156,3148,5836,2017/18
North West,Sefton,E08000014,3882,2818,5679,2017/18
North West,St. Helens,E08000013,2702,2019,3728,2017/18
North West,Stockport,E08000007,3037,2505,3816,2017/18
North West,Tameside,E08000008,3214,2525,4222,2017/18
North West,Trafford,E08000009,2149,1764,2713,2017/18
North West,Warrington,E06000007,2236,1830,2814,2017/18
North West,Wigan,E08000010,4207,3412,5303,2017/18
North West,Wirral,E08000015,5033,3318,7850,2017/18
South East,Bracknell Forest,E06000036,850,625,1198,2017/18
South East,Brighton and Hove,E06000043,4066,3287,5277,2017/18
South East,Buckinghamshire,E10000002,3473,2497,4931,2017/18
South East,East Sussex,E10000011,5224,4129,6921,2017/18
South East,Hampshire,E10000014,10469,8074,14090,2017/18
South East,Isle of Wight,E06000046,1487,1184,1937,2017/18
South East,Kent,E10000016,14133,10936,19142,2017/18
South East,Medway,E06000035,2920,2313,3849,2017/18
South East,Oxfordshire,E10000025,5478,4159,7546,2017/18
South East,Portsmouth,E06000044,3360,2610,4620,2017/18
South East,Reading,E06000038,1930,1561,2490,2017/18
South East,Slough,E06000039,1435,1097,1962,2017/18
South East,Southampton,E06000045,4050,3108,5741,2017/18
South East,Surrey,E10000030,8073,5931,11082,2017/18
South East,West Berkshire,E06000037,1207,902,1652,2017/18
South East,West Sussex,E10000032,7071,5557,9349,2017/18
South East,Windsor and Maidenhead,E06000040,991,724,1362,2017/18
South East,Wokingham,E06000041,828,538,1326,2017/18
South West,Bath and North East Somerset,E06000022,1815,1441,2418,2017/18
South West,Bournemouth,E06000028,2644,2146,3352,2017/18
South West,"Bristol, City of",E06000023,6677,5302,8792,2017/18
South West,Cornwall,E06000052,6778,5477,8576,2017/18
South West,Devon,E10000008,7171,5476,9884,2017/18
South West,Dorset,E10000009,3335,2523,4571,2017/18
South West,Gloucestershire,E10000013,5367,4227,7148,2017/18
South West,North Somerset,E06000024,1724,1332,2312,2017/18
South West,Plymouth,E06000026,3435,2804,4402,2017/18
South West,Poole,E06000029,1417,1124,1876,2017/18
South West,Somerset,E10000027,5194,4094,6823,2017/18
South West,South Gloucestershire,E06000025,2193,1673,2991,2017/18
South West,Swindon,E06000030,2110,1702,2679,2017/18
South West,Torbay,E06000027,1675,1346,2116,2017/18
South West,Wiltshire,E06000054,3902,2975,5275,2017/18
West Midlands,Birmingham,E08000025,12667,10049,16871,2017/18
West Midlands,Coventry,E08000026,4946,3952,6546,2017/18
West Midlands,Dudley,E08000027,3617,2990,4543,2017/18
West Midlands,"Herefordshire, County of",E06000019,1713,1265,2424,2017/18
West Midlands,Sandwell,E08000028,4284,3293,5750,2017/18
West Midlands,Shropshire,E06000051,2815,2110,3916,2017/18
West Midlands,Solihull,E08000029,1812,1439,2345,2017/18
West Midlands,Staffordshire,E10000028,8136,6299,10875,2017/18
West Midlands,Stoke-on-Trent,E06000021,3509,2774,4533,2017/18
West Midlands,Telford and Wrekin,E06000020,1953,1581,2548,2017/18
West Midlands,Walsall,E08000030,3559,2780,4691,2017/18
West Midlands,Warwickshire,E10000031,5028,3958,6617,2017/18
West Midlands,Wolverhampton,E08000031,3375,2596,4526,2017/18
West Midlands,Worcestershire,E10000034,5156,3960,6956,2017/18
Yorkshire & the Humber,Barnsley,E08000016,3551,2801,4592,2017/18
Yorkshire & the Humber,Bradford,E08000032,5958,4729,7780,2017/18
Yorkshire & the Humber,Calderdale,E08000033,2288,1887,2898,2017/18
Yorkshire & the Humber,Doncaster,E08000017,4069,3313,5172,2017/18
Yorkshire & the Humber,East Riding of Yorkshire,E06000011,2936,2348,3805,2017/18
Yorkshire & the Humber,"Kingston upon Hull, City of",E06000010,4411,3273,6172,2017/18
Yorkshire & the Humber,Kirklees,E08000034,4656,3816,5926,2017/18
Yorkshire & the Humber,Leeds,E08000035,9870,8032,12611,2017/18
Yorkshire & the Humber,North East Lincolnshire,E06000012,1987,1605,2529,2017/18
Yorkshire & the Humber,North Lincolnshire,E06000013,1746,1384,2299,2017/18
Yorkshire & the Humber,North Yorkshire,E10000023,5286,4168,6930,2017/18
Yorkshire & the Humber,Rotherham,E08000018,3444,2796,4356,2017/18
Yorkshire & the Humber,Sheffield,E08000019,6818,5588,8689,2017/18
Yorkshire & the Humber,Wakefield,E08000036,4312,3545,5410,2017/18
Yorkshire & the Humber,York,E06000014,2408,1918,3206,2017/18
England,England,E92000001,586780,485444,742305,2017/18
East Midlands,Derby,E06000015,3295,2549,4517,2016/17
East Midlands,Derbyshire,E10000007,8667,7009,10919,2016/17
East Midlands,Leicester,E06000016,4284,3246,6007,2016/17
East Midlands,Leicestershire,E10000018,5488,4230,7355,2016/17
East Midlands,Lincolnshire,E10000019,6746,5037,9063,2016/17
East Midlands,Northamptonshire,E10000021,6868,5486,8768,2016/17
East Midlands,Nottingham,E06000018,4615,3596,6149,2016/17
East Midlands,Nottinghamshire,E10000024,8298,6634,10496,2016/17
East Midlands,Rutland,E06000017,239,165,361,2016/17
East of England,Bedford,E06000055,1546,1253,1984,2016/17
East of England,Cambridgeshire,E10000003,5610,4319,7489,2016/17
East of England,Central Bedfordshire,E06000056,1993,1459,2822,2016/17
East of England,Essex,E10000012,12299,9346,16537,2016/17
East of England,Hertfordshire,E10000015,8668,6457,12005,2016/17
East of England,Luton,E06000032,2174,1722,2916,2016/17
East of England,Milton Keynes,E06000042,2045,1540,2832,2016/17
East of England,Norfolk,E10000020,9009,7165,11470,2016/17
East of England,Peterborough,E06000031,2380,1936,3014,2016/17
East of England,Southend-on-Sea,E06000033,1863,1442,2414,2016/17
East of England,Suffolk,E10000029,6510,4991,8614,2016/17
East of England,Thurrock,E06000034,1458,1041,2082,2016/17
London and integrated region and centre,Barking and Dagenham,E09000002,2066,1540,2811,2016/17
London and integrated region and centre,Barnet,E09000003,3055,2239,4300,2016/17
London and integrated region and centre,Bexley,E09000004,1992,1484,2756,2016/17
London and integrated region and centre,Brent,E09000005,3169,2370,4644,2016/17
London and integrated region and centre,Bromley,E09000006,2519,1875,3502,2016/17
London and integrated region and centre,Camden,E09000007,3054,2482,4026,2016/17
London and integrated region and centre,City of London,E09000001,94,67,135,2016/17
London and integrated region and centre,Croydon,E09000008,3402,2698,4620,2016/17
London and integrated region and centre,Ealing,E09000009,3387,2660,4653,2016/17
London and integrated region and centre,Enfield,E09000010,2836,2098,3998,2016/17
London and integrated region and centre,Greenwich,E09000011,3019,2262,4114,2016/17
London and integrated region and centre,Hackney,E09000012,3726,2865,5181,2016/17
London and integrated region and centre,Hammersmith and Fulham,E09000013,2428,1967,3213,2016/17
London and integrated region and centre,Haringey,E09000014,3316,2516,4495,2016/17
London and integrated region and centre,Harrow,E09000015,1583,1133,2357,2016/17
London and integrated region and centre,Havering,E09000016,2203,1649,3018,2016/17
London and integrated region and centre,Hillingdon,E09000017,2782,2172,3746,2016/17
London and integrated region and centre,Hounslow,E09000018,2620,2021,3631,2016/17
London and integrated region and centre,Islington,E09000019,3704,2945,5057,2016/17
London and integrated region and centre,Kensington and Chelsea,E09000020,1694,1317,2259,2016/17
London and integrated region and centre,Kingston upon Thames,E09000021,1409,1062,1971,2016/17
London and integrated region and centre,Lambeth,E09000022,4322,3344,5932,2016/17
London and integrated region and centre,Lewisham,E09000023,3202,2346,4529,2016/17
London and integrated region and centre,Merton,E09000024,1674,1306,2265,2016/17
London and integrated region and centre,Newham,E09000025,3513,2437,5486,2016/17
London and integrated region and centre,Redbridge,E09000026,2181,1575,3243,2016/17
London and integrated region and centre,Richmond upon Thames,E09000027,1393,1021,2001,2016/17
London and integrated region and centre,Southwark,E09000028,3729,2898,5090,2016/17
London and integrated region and centre,Sutton,E09000029,1862,1499,2405,2016/17
London and integrated region and centre,Tower Hamlets,E09000030,3467,2547,5036,2016/17
London and integrated region and centre,Waltham Forest,E09000031,3116,2375,4255,2016/17
London and integrated region and centre,Wandsworth,E09000032,3589,2797,4786,2016/17
London and integrated region and centre,Westminster,E09000033,2744,2096,3718,2016/17
North East,County Durham,E06000047,7174,5729,9234,2016/17
North East,Darlington,E06000005,1450,1108,1989,2016/17
North East,Gateshead,E08000037,3152,2420,4246,2016/17
North East,Hartlepool,E06000001,1281,998,1690,2016/17
North East,Middlesbrough,E06000002,2396,1597,3853,2016/17
North East,Newcastle upon Tyne,E08000021,4148,3284,5359,2016/17
North East,North Tyneside,E08000022,2403,1963,2999,2016/17
North East,Northumberland,E06000057,3165,2545,3992,2016/17
North East,Redcar and Cleveland,E06000003,1877,1458,2528,2016/17
North East,South Tyneside,E08000023,2413,1737,3586,2016/17
North East,Stockton-on-Tees,E06000004,2261,1817,2885,2016/17
North East,Sunderland,E08000024,5198,3384,8382,2016/17
North West,Blackburn with Darwen,E06000008,2459,1448,4416,2016/17
North West,Blackpool,E06000009,4349,1685,10592,2016/17
North West,Bolton,E08000001,3597,2833,4707,2016/17
North West,Bury,E08000002,2031,1662,2538,2016/17
North West,Cheshire East,E06000049,3403,2733,4401,2016/17
North West,Cheshire West and Chester,E06000050,3612,2917,4638,2016/17
North West,Cumbria,E10000006,5675,4623,7104,2016/17
North West,Halton,E06000006,2048,1455,3000,2016/17
North West,Knowsley,E08000011,2343,1716,3395,2016/17
North West,Lancashire,E10000017,14432,11604,18461,2016/17
North West,Liverpool,E08000012,9703,6544,15733,2016/17
North West,Manchester,E08000003,8200,6289,11190,2016/17
North West,Oldham,E08000004,2902,2257,3881,2016/17
North West,Rochdale,E08000005,2975,2300,4025,2016/17
North West,Salford,E08000006,3911,3038,5201,2016/17
North West,Sefton,E08000014,4364,2881,7134,2016/17
North West,St. Helens,E08000013,2808,2054,4069,2016/17
North West,Stockport,E08000007,3195,2578,4097,2016/17
North West,Tameside,E08000008,3428,2600,4739,2016/17
North West,Trafford,E08000009,2219,1804,2858,2016/17
North West,Warrington,E06000007,2300,1884,2926,2016/17
North West,Wigan,E08000010,4194,3412,5264,2016/17
North West,Wirral,E08000015,4862,3367,7535,2016/17
South East,Bracknell Forest,E06000036,888,670,1213,2016/17
South East,Brighton and Hove,E06000043,4341,3476,5563,2016/17
South East,Buckinghamshire,E10000002,3474,2500,5020,2016/17
South East,East Sussex,E10000011,5005,3810,6626,2016/17
South East,Hampshire,E10000014,10060,7598,13786,2016/17
South East,Isle of Wight,E06000046,1553,1233,1993,2016/17
South East,Kent,E10000016,13902,10537,18599,2016/17
South East,Medway,E06000035,2825,2145,3759,2016/17
South East,Oxfordshire,E10000025,5531,4216,7457,2016/17
South East,Portsmouth,E06000044,3295,2586,4404,2016/17
South East,Reading,E06000038,1872,1500,2419,2016/17
South East,Slough,E06000039,1465,1134,2058,2016/17
South East,Southampton,E06000045,3734,2969,4886,2016/17
South East,Surrey,E10000030,8002,5949,11218,2016/17
South East,West Berkshire,E06000037,1142,844,1610,2016/17
South East,West Sussex,E10000032,7096,5543,9296,2016/17
South East,Windsor and Maidenhead,E06000040,932,675,1342,2016/17
South East,Wokingham,E06000041,816,541,1287,2016/17
South West,Bath and North East Somerset,E06000022,1732,1373,2271,2016/17
South West,Bournemouth,E06000028,2850,2285,3664,2016/17
South West,"Bristol, City of",E06000023,6592,5220,8638,2016/17
South West,Cornwall & Isles of Scilly,E06000052,6775,5412,8648,2016/17
South West,Devon,E10000008,7318,5633,9667,2016/17
South West,Dorset,E10000009,3420,2621,4553,2016/17
South West,Gloucestershire,E10000013,5297,4085,6991,2016/17
South West,North Somerset,E06000024,1739,1350,2314,2016/17
South West,Plymouth,E06000026,3685,2977,4665,2016/17
South West,Poole,E06000029,1448,1136,1874,2016/17
South West,Somerset,E10000027,5051,3903,6586,2016/17
South West,South Gloucestershire,E06000025,2202,1674,2981,2016/17
South West,Swindon,E06000030,2053,1656,2628,2016/17
South West,Torbay,E06000027,1651,1330,2104,2016/17
South West,Wiltshire,E06000054,3892,3002,5197,2016/17
West Midlands,Birmingham,E08000025,13295,10205,18148,2016/17
West Midlands,Coventry,E08000026,4706,3725,6163,2016/17
West Midlands,Dudley,E08000027,3996,3173,5191,2016/17
West Midlands,"Herefordshire, County of",E06000019,1716,1258,2371,2016/17
West Midlands,Sandwell,E08000028,4421,3349,6040,2016/17
West Midlands,Shropshire,E06000051,2792,2087,3815,2016/17
West Midlands,Solihull,E08000029,1783,1423,2298,2016/17
West Midlands,Staffordshire,E10000028,8721,6984,11096,2016/17
West Midlands,Stoke-on-Trent,E06000021,3707,2866,4918,2016/17
West Midlands,Telford and Wrekin,E06000020,1937,1541,2442,2016/17
West Midlands,Walsall,E08000030,3360,2670,4335,2016/17
West Midlands,Warwickshire,E10000031,5007,3959,6480,2016/17
West Midlands,Wolverhampton,E08000031,3565,2647,5117,2016/17
West Midlands,Worcestershire,E10000034,5231,4037,6849,2016/17
Yorkshire & the Humber,Barnsley,E08000016,3458,2750,4434,2016/17
Yorkshire & the Humber,Bradford,E08000032,5878,4691,7790,2016/17
Yorkshire & the Humber,Calderdale,E08000033,2226,1780,2817,2016/17
Yorkshire & the Humber,Doncaster,E08000017,4313,3446,5523,2016/17
Yorkshire & the Humber,East Riding of Yorkshire,E06000011,3011,2424,3867,2016/17
Yorkshire & the Humber,"Kingston upon Hull, City of",E06000010,4663,3358,6884,2016/17
Yorkshire & the Humber,Kirklees,E08000034,4656,3768,5914,2016/17
Yorkshire & the Humber,Leeds,E08000035,10308,8211,13369,2016/17
Yorkshire & the Humber,North East Lincolnshire,E06000012,1936,1560,2433,2016/17
Yorkshire & the Humber,North Lincolnshire,E06000013,1888,1517,2362,2016/17
Yorkshire & the Humber,North Yorkshire,E10000023,5284,4197,6844,2016/17
Yorkshire & the Humber,Rotherham,E08000018,3561,2841,4584,2016/17
Yorkshire & the Humber,Sheffield,E08000019,6816,5486,8745,2016/17
Yorkshire & the Humber,Wakefield,E08000036,3985,3215,5015,2016/17
Yorkshire & the Humber,York,E06000014,2406,1887,3195,2016/17
England,England,E92000001,589101,481965,744996,2016/17
East Midlands,Derby,E06000015,3239,2517,4419,2015/16
East Midlands,Derbyshire,E10000007,8466,6936,10755,2015/16
East Midlands,Leicester,E06000016,4295,3272,6090,2015/16
East Midlands,Leicestershire,E10000018,5460,4195,7399,2015/16
East Midlands,Lincolnshire,E10000019,6723,5093,9281,2015/16
East Midlands,Northamptonshire,E10000021,6381,4977,8679,2015/16
East Midlands,Nottingham,E06000018,5350,3786,8194,2015/16
East Midlands,Nottinghamshire,E10000024,8462,6906,10770,2015/16
East Midlands,Rutland,E06000017,256,189,372,2015/16
East of England,Bedford,E06000055,1685,1372,2136,2015/16
East of England,Cambridgeshire,E10000003,5769,4563,7652,2015/16
East of England,Central Bedfordshire,E06000056,2054,1554,2857,2015/16
East of England,Essex,E10000012,12236,9316,16854,2015/16
East of England,Hertfordshire,E10000015,8687,6475,12240,2015/16
East of England,Luton,E06000032,2356,1865,3140,2015/16
East of England,Milton Keynes,E06000042,2080,1596,2839,2015/16
East of England,Norfolk,E10000020,8943,7258,11590,2015/16
East of England,Peterborough,E06000031,2665,2105,3549,2015/16
East of England,Southend-on-Sea,E06000033,1955,1603,2526,2015/16
East of England,Suffolk,E10000029,6574,5088,8909,2015/16
