ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Facility type
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.00983,5792.97098,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.0125,5792.971,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,2.64412,1558002.689,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,11.83261,1488487.04,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.15,69515.652,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,97.17021,57255897.71,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,87.94239,11062746,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,99.675,46193150.75,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.00984,5820.11923,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.0125,5820.1195,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,2.63244,1556409.468,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,11.83261,1486568.028,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.15,69841.434,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,97.18194,57458116.42,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,87.94239,11048483.5,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,99.675,46409632.89,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.00988,5861.95675,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.0125,5861.957,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,2.59786,1541211.831,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,11.83261,1470868.408,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.15,70343.484,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,97.21667,57675044.82,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,87.94239,10931800.66,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,99.675,46743245.12,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.00992,5906.93017,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.0125,5906.93,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,2.56374,1527002.217,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,11.83261,1456119.065,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.15,70883.16,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,97.25093,57924040.29,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,87.94239,10822180.46,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,99.675,47101859.82,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0.00995,5959.51001,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.0125,5959.51,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,2.52986,1514699.353,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,11.83261,1443185.198,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.15,71514.12,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,97.28495,58247186.93,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,87.94239,10726053.27,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,99.675,47521132.74,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0.00999,6022.38961,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.0125,6022.3895,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,2.49645,1505059.486,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,11.83261,1432790.845,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.15,72268.674,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,97.31851,58671334.18,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,87.94239,10648800.27,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,99.675,48022533.87,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0.01002,6097.2635,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.0125,6097.264,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,2.46327,1498195.867,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,11.83261,1425028.774,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.15,73167.168,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,97.35182,59210691.2,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,87.94239,10591110.94,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,99.675,48619583.14,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,0.01006,6182.31147,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.0125,6182.3115,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,2.43056,1493705.134,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,11.83261,1419517.383,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.15,74187.738,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,97.38468,59847901.05,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,87.94239,10550149.13,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,99.675,49297751.9,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,0.01009,6273.3144,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0.0125,6273.314,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,2.39808,1490291.619,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,11.83261,1415011.882,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,0.15,75279.768,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2008,97.41729,60540071.18,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2008,87.94239,10516663.31,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2008,99.675,50023405.84,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,0.01013,6363.83238,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0.0125,6363.8325,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,2.36607,1486571.316,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,11.83261,1410205.359,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,0.15,76365.99,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2009,97.44944,61226139.62,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2009,87.94239,10480940.23,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2009,99.675,50745200.36,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2010,0.01016,6449.26082,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2010,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2010,0.0125,6449.261,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2010,2.33441,1481414.272,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2010,11.83261,1404023.177,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2010,0.15,77391.132,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2010,97.48124,61861397.24,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2010,87.94239,10434992.97,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2010,99.675,51426407.21,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2011,0.0102,6527.83502,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2011,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2011,0.0125,6527.835,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2011,2.3031,1474491.575,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2011,11.83261,1396157.571,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2011,0.15,78334.02,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2011,97.51268,62429488.49,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2011,87.94239,10376534.14,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2011,99.675,52052956.29,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2012,0.01023,6600.69622,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2012,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2012,0.0125,6600.696,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2012,2.27191,1465957.974,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2012,11.83261,1386749.584,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2012,0.15,79208.352,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2012,97.54401,62940563.86,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2012,87.94239,10306612.02,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2012,99.675,52633949.9,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2013,0.01026,6669.1471,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2013,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2013,0.0125,6669.147,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2013,2.24095,1456261.1,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2013,11.83261,1376231.344,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2013,0.15,80029.764,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2013,97.5751,63408216.48,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2013,87.94239,10228438.27,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2013,99.675,53179778.18,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2014,0.0103,6735.71169,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2014,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2014,0.0125,6735.7115,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2014,2.21023,1445998.253,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2014,11.83261,1365169.632,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2014,0.15,80828.538,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2014,97.60595,63856789.76,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2014,87.94239,10146225.32,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2014,99.675,53710563.5,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2015,0.01033,6802.20074,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2015,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2015,0.0125,6802.2005,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2015,2.17974,1435577.531,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2015,11.83261,1353951.139,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2015,0.15,81626.406,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2015,97.63658,64303594.91,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2015,87.94239,10062847.14,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2015,99.675,54240746.79,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2016,0.01036,6868.96423,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2016,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2016,0.0125,6868.964,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2016,2.14936,1424982.397,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2016,11.83261,1342554.801,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2016,0.15,82427.568,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2016,97.66708,64751268.06,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2016,87.94239,9978147.179,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2016,99.675,54773118.94,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2017,0.01039,6934.90151,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2017,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2017,0.0125,6934.9015,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2017,2.11934,1414179.551,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2017,11.83261,1330960.74,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2017,0.15,83218.818,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2017,97.69724,65190884.25,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2017,87.94239,9891977.704,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2017,99.675,55298904.56,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2018,0.01042,6999.35229,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2018,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2018,0.0125,6999.3525,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2018,2.08955,1402956.295,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2018,11.83261,1318964.016,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2018,0.15,83992.23,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2018,97.72715,65615653.31,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2018,87.94239,9802815.549,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2018,99.675,55812836.84,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2019,0.01046,7061.29202,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2019,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2019,0.0125,7061.292,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2019,2.05987,1391035.167,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2019,11.83261,1306299.696,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2019,0.15,84735.504,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2019,97.75695,66015433.17,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2019,87.94239,9708691.684,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2019,99.675,56306742.41,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2020,0.01049,7119.79966,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2020,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2020,0.0125,7119.8,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2020,2.03055,1378458.439,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2020,11.83261,1293020.909,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2020,0.15,85437.6,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2020,97.7864,66383284.27,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2020,87.94239,9610000.97,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2020,99.675,56773285.2,Sewer
